States,2017 Median income
United States,61372
Alabama,51113
Alaska,72231
Arizona,61125
Arkansas,48829
California,69759
Colorado,74172
Connecticut,72780
Delaware,62318
D.C.,83382
Florida,53681
Georgia,57016
Hawaii,73575
Idaho,60208
Illinois,64609
Indiana,58873
Iowa,63481
Kansas,57872
Kentucky,51348
Louisiana,43903
Maine,51664
Maryland,81084
Massachusetts,73227
Michigan,57700
Minnesota,71920
Mississippi,43441
Missouri,56885
Montana,59087
Nebraska,59619
Nevada,56550
New Hampshire,74801
New Jersey,72997
New Mexico,47855
New York,62447
North Carolina,50343
North Dakota,59886
Ohio,59768
Oklahoma,55006
Oregon,64610
Pennsylvania,63173
Rhode Island,66390
South Carolina,54971
South Dakota,56894
Tennessee,55240
Texas,59295
Utah,71319
Vermont,63805
Virginia,71293
Washington,75418
West Virginia,45392
Wisconsin,63451
Wyoming,57837